customer_id,company_name,segment,region,industry,acquisition_date,contract_type,csm_name,mrr
C0135,"Hines, Murphy and Bush",smb,APAC,SaaS,2024-06-02,monthly,Diana,819.0
C0136,Gibson Group,smb,North America,Healthcare,2024-10-28,monthly,Alice,260.0
C0137,Scott-Davis,enterprise,Europe,Healthcare,2025-07-22,annual,Bob,9493.0
C0138,Green-Anderson,mid-market,Europe,Ecommerce,2024-05-22,annual,Diana,4987.0
C0139,"Mcgee, Morgan and Fields",mid-market,Europe,Healthcare,2026-01-12,annual,Alice,2415.0
C0140,"Powers, Cortez and Wilson",smb,Europe,SaaS,2024-12-07,monthly,Charlie,500.0
C0141,Nielsen Group,mid-market,North America,SaaS,2025-01-08,monthly,Alice,2832.0
C0142,"Walker, Ferguson and Walsh",enterprise,North America,Fintech,2024-09-05,monthly,Bob,13050.0
C0143,Jacobson-Bell,smb,North America,Fintech,2026-02-07,annual,Alice,121.0
C0144,"Mitchell, Benson and Higgins",enterprise,APAC,Fintech,2024-08-24,annual,Charlie,19373.0
C0145,"Harvey, Abbott and Martinez",smb,Europe,Fintech,2025-05-24,monthly,Bob,607.0
C0146,"Joseph, Maldonado and George",smb,Europe,SaaS,2026-01-20,monthly,Charlie,382.0
C0147,"Baker, Mckinney and Garcia",mid-market,APAC,Healthcare,2025-10-08,annual,Bob,2832.0
C0148,"Tucker, Flores and Anderson",mid-market,North America,Fintech,2024-12-27,monthly,Charlie,3331.0
C0149,Ramos-Bradley,smb,APAC,SaaS,2026-01-01,monthly,Charlie,580.0
C0150,"Watkins, Chen and Hardy",enterprise,APAC,Healthcare,2025-07-08,annual,Alice,12996.0
C0151,"Lee, Adams and Smith",mid-market,APAC,Ecommerce,2025-08-03,monthly,Diana,4587.0
C0152,"Butler, Bell and White",enterprise,Europe,SaaS,2025-10-24,annual,Charlie,16312.0
C0153,Jackson Ltd,enterprise,APAC,Healthcare,2025-07-08,monthly,Diana,12339.0
C0154,Bennett Group,smb,North America,Ecommerce,2024-10-05,annual,Diana,576.0
C0155,Frank-Harris,mid-market,Europe,Ecommerce,2025-04-04,annual,Bob,3565.0
C0156,"Johnson, Alexander and Wagner",mid-market,North America,Ecommerce,2024-11-08,annual,Bob,2768.0
C0157,Serrano Inc,smb,Europe,Healthcare,2026-03-24,annual,Alice,448.0
C0158,Ball-Ballard,mid-market,Europe,Ecommerce,2025-01-24,monthly,Diana,1180.0
C0159,"Hardin, Price and Wright",mid-market,North America,Ecommerce,2025-08-02,annual,Charlie,1699.0
C0160,"Young, Mccormick and Cunningham",smb,Europe,Ecommerce,2024-07-10,monthly,Bob,290.0
C0161,Tucker-Klein,mid-market,North America,Fintech,2025-05-24,annual,Diana,3975.0
C0162,Gray Group,smb,APAC,Fintech,2024-05-19,annual,Diana,355.0
C0163,Williams LLC,mid-market,Europe,SaaS,2026-02-27,monthly,Charlie,3065.0
C0164,Johnson-Mitchell,mid-market,North America,Healthcare,2025-06-27,monthly,Charlie,2758.0
C0165,Le Ltd,smb,APAC,Ecommerce,2025-06-29,annual,Charlie,422.0
C0166,Bailey-Summers,mid-market,Europe,Ecommerce,2025-02-14,annual,Diana,4863.0
C0167,"Thomas, Harris and Mcguire",enterprise,Europe,Ecommerce,2026-03-09,annual,Bob,9014.0
C0168,Gross-Mcintyre,smb,North America,Fintech,2025-11-10,annual,Alice,738.0
C0169,Wilson Inc,mid-market,APAC,Fintech,2025-12-09,monthly,Bob,2409.0
C0170,"Castaneda, West and Evans",mid-market,APAC,Healthcare,2024-12-07,annual,Charlie,4175.0
C0171,Davis-Porter,smb,North America,Fintech,2025-08-24,annual,Bob,910.0
C0172,Ramsey and Sons,smb,Europe,Fintech,2024-12-13,annual,Alice,138.0
C0173,Phelps-Aguilar,mid-market,APAC,Fintech,2025-01-23,annual,Alice,3806.0
C0174,"Joseph, Brown and Porter",mid-market,North America,Ecommerce,2026-01-30,monthly,Diana,2841.0
C0175,Hernandez-Fitzgerald,smb,North America,SaaS,2024-10-03,annual,Diana,624.0
C0176,"Smith, White and Griffin",enterprise,Europe,Healthcare,2024-09-26,annual,Bob,7950.0
C0177,Smith Ltd,mid-market,North America,Ecommerce,2024-08-25,annual,Alice,1684.0
C0178,Garrett-Kaiser,enterprise,North America,Healthcare,2025-11-21,annual,Alice,17039.0
C0179,"Simon, Mullen and Ramirez",smb,APAC,SaaS,2024-11-01,monthly,Bob,499.0
C0180,Johnson-Lewis,enterprise,APAC,Ecommerce,2024-10-19,monthly,Bob,11002.0
C0181,"Mitchell, Anderson and Stone",mid-market,North America,Healthcare,2026-03-28,monthly,Diana,2115.0
C0182,Becker LLC,mid-market,Europe,Healthcare,2024-04-29,annual,Diana,2823.0
C0183,"Fleming, Whitehead and Whitaker",mid-market,Europe,SaaS,2024-08-14,monthly,Bob,1853.0
C0184,"Gonzalez, Jones and Fisher",mid-market,APAC,Fintech,2024-04-21,annual,Alice,4769.0
C0185,Huffman Inc,mid-market,North America,Fintech,2025-12-07,monthly,Alice,2148.0
C0186,Nguyen Group,smb,North America,SaaS,2025-07-24,annual,Diana,669.0
C0187,"Baxter, Gonzalez and Leon",enterprise,APAC,Healthcare,2025-02-04,annual,Alice,14907.0
C0188,"Sanders, Patton and Clements",enterprise,North America,Ecommerce,2026-04-14,annual,Diana,8854.0
C0189,Hines-Lee,mid-market,North America,Fintech,2025-10-01,annual,Bob,3491.0
C0190,"Rogers, Walker and Brown",mid-market,Europe,SaaS,2024-10-12,monthly,Bob,3311.0
C0191,"Wood, Carney and Martin",smb,Europe,Fintech,2025-10-28,monthly,Alice,719.0
C0192,"Vazquez, Faulkner and Dean",smb,North America,Ecommerce,2024-10-12,annual,Diana,295.0
C0193,"Hudson, Hunter and Greene",smb,North America,Healthcare,2026-04-03,annual,Diana,983.0
C0194,Orozco Ltd,mid-market,Europe,Healthcare,2024-07-08,annual,Alice,3914.0
C0195,Johnson-Martinez,smb,APAC,SaaS,2025-10-26,annual,Charlie,919.0
C0196,Stewart Ltd,enterprise,APAC,Ecommerce,2024-07-13,monthly,Alice,9465.0
C0197,White and Sons,mid-market,North America,SaaS,2025-02-04,annual,Alice,2693.0
C0198,"Ward, Solis and Murphy",enterprise,North America,Healthcare,2024-11-25,annual,Charlie,11521.5
C0199,West-Roy,mid-market,North America,Healthcare,2025-12-03,annual,Alice,4675.0
